1111 ; dhr. ; A. ;  ; Hilverda ; ouder ; Snoystraat ; 1 ; Gouda ; 2802 SV ; 06-1234321 ; 0182-234321 ; Hilverda@planeet.nl
4653 ; dhr. ; M. ;  ; Yedema ; ouder ; Lem Dulstraat ; 13 ; Gouda ; 2801 EN ; 06-21650409 ; 0182-650409 ; Yedema@hotmailing.com
4667 ; dhr. ; O. ;  ; Beekma ; ouder ; Bogen ; 23 ; Gouda ; 2801 RC ; 06-21780889 ; 0182-780889 ; Beekma@planeet.nl
4681 ; dhr. ; Q. ;  ; Bruinsma ; ouder ; Gildenburg ; 33 ; Gouda ; 2804 VK ; 06-21911761 ; 0182-911761 ; Bruinsma@hetweb.nl
4695 ; dhr. ; S. ;  ; Foekema ; ouder ; Kwekerspad ; 10 ; Reeuwijk ; 2811 PW ; 06-22043025 ; 0182-43025 ; Foekema@xs4you.nl
4709 ; dhr. ; U. ;  ; Hemmema ; ouder ; Eerste Schoolstraat ; 20 ; Gouda ; 2802 SP ; 06-22174681 ; 0182-174681 ; Hemmema@zoggi.nl
4723 ; dhr. ; W. ;  ; Jilderda ; ouder ; Fokkerstraat ; 30 ; Reeuwijk ; 2811 EN ; 06-22306729 ; 0182-306729 ; Jilderda@freeweb.com
4737 ; dhr. ; Y. ;  ; Leininga ; ouder ; Marendijkpoldersingel ; 7 ; Gouda ; 2807 NA ; 06-22439169 ; 0182-439169 ; Leininga@gmailer.com
4751 ; dhr. ; A. ;  ; Petstra ; ouder ; Vrijheidslaan ; 17 ; Gouda ; 2806 KH ; 06-22572001 ; 0182-572001 ; Petstra@hotmailing.com
4765 ; dhr. ; C. ;  ; Ruwersma ; ouder ; Koningin Wilhelminastraat ; 27 ; Reeuwijk ; 2811 TT ; 06-22705225 ; 0182-705225 ; Ruwersma@planeet.nl
4779 ; dhr. ; E. ;  ; Spoelstra ; ouder ; Turfmarkt ; 4 ; Gouda ; 2801 HD ; 06-22838841 ; 0182-838841 ; Spoelstra@hetweb.nl
4793 ; dhr. ; G. ;  ; Tuizenga ; ouder ; Vogelplein ; 14 ; Gouda ; 2802 CH ; 06-22972849 ; 0182-972849 ; Tuizenga@xs4you.nl
4807 ; dhr. ; I. ;  ; Wijnsema ; ouder ; Vest ; 24 ; Gouda ; 2801 TW ; 06-23107249 ; 0182-107249 ; Wijnsema@zoggi.nl
4821 ; dhr. ; K.K. ;  ; Ballema ; ouder ; Zijdeweg ; 1 ; Reeuwijk ; 2811 PD ; 06-23242041 ; 0182-242041 ; Ballema@freeweb.com
4835 ; dhr. ; M. ;  ; Bovinga ; ouder ; Cort van der Lindenstraat ; 11 ; Gouda ; 2805 SV ; 06-23377225 ; 0182-377225 ; Bovinga@gmailer.com
4849 ; dhr. ; O. ;  ; Eringa ; ouder ; Benedenkerkseweg ; 21 ; Stolwijk ; 2821 LA ; 06-23512801 ; 0182-512801 ; Eringa@hotmailing.com
4863 ; dhr. ; Q. ;  ; Heddema ; ouder ; Raadhuisweg ; 31 ; Reeuwijk ; 2811 HT ; 06-23648769 ; 0182-648769 ; Heddema@planeet.nl
4877 ; dhr. ; S. ;  ; Inja ; ouder ; Gloriantplantsoen ; 8 ; Gouda ; 2805 XD ; 06-23785129 ; 0182-785129 ; Inja@hetweb.nl
4891 ; dhr. ; U. ;  ; Kuilma ; ouder ; Conrad Busken Huetstraat ; 18 ; Gouda ; 2802 XC ; 06-23921881 ; 0182-921881 ; Kuilma@xs4you.nl
4905 ; dhr. ; W. ;  ; Oudega ; ouder ; Groeneweg ; 28 ; Gouda ; 2801 ZC ; 06-24059025 ; 0182-59025 ; Oudega@zoggi.nl
4919 ; dhr. ; Y. ;  ; Roelfsma ; ouder ; Jacob Lemairelaan ; 5 ; Gouda ; 2803 XD ; 06-24196561 ; 0182-196561 ; Roelfsma@freeweb.com
4933 ; dhr. ; A. ;  ; Sjoukema ; ouder ; Gandhiweg ; 15 ; Gouda ; 2807 RD ; 06-24334489 ; 0182-334489 ; Sjoukema@gmailer.com
4947 ; dhr. ; C. ;  ; Tjaardstra ; ouder ; Goudseweg ; 25 ; Gouda ; 2808 NK ; 06-24472809 ; 0182-472809 ; Tjaardstra@hotmailing.com
4961 ; dhr. ; E. ;  ; Wienija ; ouder ; Sparreweg ; 2 ; Gouda ; 2803 JS ; 06-24611521 ; 0182-611521 ; Wienija@planeet.nl
4975 ; dhr. ; G. ;  ; Ankringa ; ouder ; Heuvellaan ; 12 ; Gouda ; 2803 DS ; 06-24750625 ; 0182-750625 ; Ankringa@hetweb.nl
4989 ; dhr. ; I. ;  ; Boorsma ; ouder ; Middenmolenlaan ; 22 ; Gouda ; 2807 EA ; 06-24890121 ; 0182-890121 ; Boorsma@xs4you.nl
5003 ; dhr. ; K. ;  ; Eenshuistra ; ouder ; Doormanstraat ; 32 ; Reeuwijk ; 2811 XT ; 06-25030009 ; 0182-30009 ; Eenshuistra@zoggi.nl
5017 ; dhr. ; M. ; Voogt ; voogd ; ouder ; Palenstein ; 9 ; Gouda ; 2804 GB ; 06-25170289 ; 0182-170289 ; Halma@freeweb.com
5031 ; dhr. ; O. ;  ; Huttenga ; ouder ; Dunantsingel ; 19 ; Gouda ; 2806 JG ; 06-25310961 ; 0182-310961 ; Huttenga@gmailer.com
5045 ; dhr. ; Q. ;  ; Koolma ; ouder ; Zijdeweg ; 29 ; Reeuwijk ; 2811 PE ; 06-25452025 ; 0182-452025 ; Koolma@hotmailing.com
5059 ; dhr. ; S. ;  ; Norda ; ouder ; Pittebies ; 6 ; Reeuwijk ; 2811 ST ; 06-25593481 ; 0182-593481 ; Norda@planeet.nl
5073 ; dhr. ; U. ;  ; Rietsema ; ouder ; Vlietenburg ; 16 ; Gouda ; 2804 WT ; 06-25735329 ; 0182-735329 ; Rietsema@hetweb.nl
5087 ; dhr. ; W. ;  ; Sijperda ; ouder ; Dillegaarde ; 26 ; Gouda ; 2803 RD ; 06-25877569 ; 0182-877569 ; Sijperda@xs4you.nl
5101 ; dhr. ; Y. ;  ; Thoma ; ouder ; Benedenkerkseweg ; 3 ; Stolwijk ; 2821 LB ; 06-26020201 ; 0182-20201 ; Thoma@zoggi.nl
5115 ; dhr. ; A. ;  ; Weidema ; ouder ; Zonnedauw ; 13 ; Reeuwijk ; 2811 RL ; 06-26163225 ; 0182-163225 ; Weidema@freeweb.com
5129 ; dhr. ; C. ;  ; Albada ; ouder ; Van de Puttestraat ; 23 ; Gouda ; 2804 JP ; 06-26306641 ; 0182-306641 ; Albada@gmailer.com
5143 ; dhr. ; E. ;  ; Boelsma ; ouder ; Pinksterbloemstraat ; 33 ; Gouda ; 2802 ZP ; 06-26450449 ; 0182-450449 ; Boelsma@hotmailing.com
5157 ; dhr. ; G. ;  ; Douna ; ouder ; Abel Tasmanlaan ; 10 ; Gouda ; 2803 GH ; 06-26594649 ; 0182-594649 ; Douna@planeet.nl
5171 ; dhr. ; I.I. ;  ; Gudema ; ouder ; Rietzoom ; 20 ; Gouda ; 2804 CX ; 06-26739241 ; 0182-739241 ; Gudema@hetweb.nl
5185 ; dhr. ; K. ;  ; Hopma ; ouder ; Oosthaven ; 30 ; Gouda ; 2801 PB ; 06-26884225 ; 0182-884225 ; Hopma@xs4you.nl
5199 ; dhr. ; M. ;  ; Kleisma ; ouder ; Voltaweg ; 7 ; Gouda ; 2809 JP ; 06-27029601 ; 0182-29601 ; Kleisma@zoggi.nl
5213 ; dhr. ; O. ;  ; Merema ; ouder ; Bosranklaan ; 17 ; Gouda ; 2803 VE ; 06-27175369 ; 0182-175369 ; Merema@freeweb.com
5227 ; dhr. ; Q. ;  ; Reitzema ; ouder ; Walvisstraat ; 27 ; Gouda ; 2802 SC ; 06-27321529 ; 0182-321529 ; Reitzema@gmailer.com
5241 ; dhr. ; S. ;  ; Sickinga ; ouder ; Lange Noodgodsstraat ; 4 ; Gouda ; 2801 RS ; 06-27468081 ; 0182-468081 ; Sickinga@hotmailing.com
5255 ; dhr. ; U. ;  ; Tadema ; ouder ; Tweede Kade ; 14 ; Gouda ; 2806 PS ; 06-27615025 ; 0182-615025 ; Tadema@planeet.nl
5269 ; dhr. ; W. ;  ; Vrijma ; ouder ; Ruichthoek ; 24 ; Reeuwijk ; 2811 AG ; 06-27762361 ; 0182-762361 ; Vrijma@hetweb.nl
5283 ; dhr. ; Y. ;  ; Zuidersma ; ouder ; Bosweg ; 1 ; Gouda ; 2802 NP ; 06-27910089 ; 0182-910089 ; Zuidersma@xs4you.nl
5297 ; dhr. ; A. ;  ; Bijkersma ; ouder ; Gravekoopsedijk ; 11 ; Reeuwijk ; 2811 NL ; 06-28058209 ; 0182-58209 ; Bijkersma@zoggi.nl
5311 ; dhr. ; C. ;  ; Deenstra ; ouder ; Gortmolenerf ; 21 ; Gouda ; 2807 EJ ; 06-28206721 ; 0182-206721 ; Deenstra@freeweb.com
5325 ; dhr. ; E. ;  ; Gielstra ; ouder ; Kanaalstraat ; 31 ; Gouda ; 2801 SG ; 06-28355625 ; 0182-355625 ; Gielstra@gmailer.com
5339 ; dhr. ; G. ;  ; Hoekstra ; ouder ; Onder de Boompjes ; 8 ; Gouda ; 2802 AT ; 06-28504921 ; 0182-504921 ; Hoekstra@hotmailing.com
5353 ; dhr. ; I. ;  ; Kapma ; ouder ; Lekkenburg ; 18 ; Gouda ; 2804 XC ; 06-28654609 ; 0182-654609 ; Kapma@planeet.nl
5367 ; dhr. ; K. ;  ; Mantinga ; ouder ; Jantjeserf ; 28 ; Gouda ; 2806 PW ; 06-28804689 ; 0182-804689 ; Mantinga@hetweb.nl
5381 ; dhr. ; M. ;  ; Poutsma ; ouder ; Dorpsweg ; 5 ; Reeuwijk ; 2811 KE ; 06-28955161 ; 0182-955161 ; Poutsma@xs4you.nl
5395 ; dhr. ; O. ;  ; Schoustra ; ouder ; Cornelis Ketelstraat ; 15 ; Gouda ; 2806 SN ; 06-29106025 ; 0182-106025 ; Schoustra@zoggi.nl
5409 ; dhr. ; Q. ;  ; Streekstra ; ouder ; Tuinkersgaarde ; 25 ; Gouda ; 2803 RM ; 06-29257281 ; 0182-257281 ; Streekstra@freeweb.com
5423 ; dhr. ; S. ;  ; Veninga ; ouder ; Van Baerlestraat ; 2 ; Gouda ; 2802 GL ; 06-29408929 ; 0182-408929 ; Veninga@gmailer.com
5437 ; dhr. ; U. ;  ; Zaagstra ; ouder ; Vinkeveldpoldersingel ; 12 ; Gouda ; 2807 NK ; 06-29560969 ; 0182-560969 ; Zaagstra@hotmailing.com
5451 ; dhr. ; W. ;  ; Beista ; ouder ; Terwindtplein ; 22 ; Gouda ; 2807 RP ; 06-29713401 ; 0182-713401 ; Beista@planeet.nl
5465 ; dhr. ; Y. ;  ; Bultsma ; ouder ; Doormanstraat ; 32 ; Reeuwijk ; 2811 XS ; 06-29866225 ; 0182-866225 ; Bultsma@hetweb.nl
5479 ; dhr. ; A. ; Voogdt ; voogd ; ouder ; Vondelstraat ; 9 ; Gouda ; 2802 NG ; 06-30019441 ; 0182-19441 ; Freerkstra@xs4you.nl
5493 ; dhr. ; C. ;  ; Hettenga ; ouder ; Oostmolenpad ; 19 ; Gouda ; 2807 DN ; 06-30173049 ; 0182-173049 ; Hettenga@zoggi.nl
5507 ; dhr. ; E. ;  ; Joukema ; ouder ; Nieuwehaven ; 29 ; Gouda ; 2801 ED ; 06-30327049 ; 0182-327049 ; Joukema@freeweb.com
5521 ; dhr. ; G.G. ;  ; Libbinga ; ouder ; Gregorius Coolstraat ; 6 ; Gouda ; 2806 RZ ; 06-30481441 ; 0182-481441 ; Libbinga@gmailer.com
5535 ; dhr. ; I. ;  ; Poelsma ; ouder ; Moerbeistraat ; 16 ; Gouda ; 2803 TB ; 06-30636225 ; 0182-636225 ; Poelsma@hotmailing.com
5549 ; dhr. ; K. ;  ; Schansema ; ouder ; Hoogaarswerf ; 26 ; Gouda ; 2804 MG ; 06-30791401 ; 0182-791401 ; Schansema@planeet.nl
5563 ; dhr. ; M. ;  ; Steeksma ; ouder ; Benedenheulseweg ; 3 ; Stolwijk ; 2821 LV ; 06-30946969 ; 0182-946969 ; Steeksma@hetweb.nl
5577 ; dhr. ; O. ;  ; Ukena ; ouder ; Gouderaksedijk ; 13 ; Gouda ; 2808 NC ; 06-31102929 ; 0182-102929 ; Ukena@xs4you.nl
5591 ; dhr. ; Q. ;  ; Wobbema ; ouder ; Albrechtsveld ; 23 ; Gouda ; 2804 WC ; 06-31259281 ; 0182-259281 ; Wobbema@zoggi.nl
5605 ; dhr. ; S. ;  ; Bantema ; ouder ; Cronjestraat ; 33 ; Gouda ; 2806 TV ; 06-31416025 ; 0182-416025 ; Bantema@freeweb.com
5619 ; dhr. ; U. ;  ; Brinxma ; ouder ; Deborah Hoeve ; 10 ; Gouda ; 2804 HH ; 06-31573161 ; 0182-573161 ; Brinxma@gmailer.com
5633 ; dhr. ; W. ;  ; Feitsma ; ouder ; Rietzoom ; 20 ; Gouda ; 2804 CN ; 06-31730689 ; 0182-730689 ; Feitsma@hotmailing.com
5647 ; dhr. ; Y. ;  ; Heijenga ; ouder ; Overburg ; 30 ; Gouda ; 2804 ZP ; 06-31888609 ; 0182-888609 ; Heijenga@planeet.nl
5661 ; dhr. ; A. ;  ; Jansma ; ouder ; Waterpeper ; 7 ; Gouda ; 2804 PR ; 06-32046921 ; 0182-46921 ; Jansma@hetweb.nl
5675 ; dhr. ; C. ;  ; Laninga ; ouder ; Agnietenstraat ; 17 ; Gouda ; 2801 GZ ; 06-32205625 ; 0182-205625 ; Laninga@xs4you.nl
5689 ; dhr. ; E. ;  ; Pasma ; ouder ; Drossaardslag ; 27 ; Gouda ; 2805 DC ; 06-32364721 ; 0182-364721 ; Pasma@zoggi.nl
5703 ; dhr. ; G. ;  ; Rooda ; ouder ; Beijerscheweg ; 4 ; Stolwijk ; 2821 NG ; 06-32524209 ; 0182-524209 ; Rooda@freeweb.com
5717 ; dhr. ; I. ;  ; Soetinga ; ouder ; Noothoven van Goorstraat ; 14 ; Gouda ; 2806 RA ; 06-32684089 ; 0182-684089 ; Soetinga@gmailer.com
5731 ; dhr. ; K. ;  ; Toomstra ; ouder ; Cornelis Ketelstraat ; 24 ; Gouda ; 2806 SM ; 06-32844361 ; 0182-844361 ; Toomstra@hotmailing.com
5745 ; dhr. ; M. ;  ; Wietsma ; ouder ; Schinkeldijk ; 1 ; Reeuwijk ; 2811 PA ; 06-33005025 ; 0182-5025 ; Wietsma@planeet.nl
5759 ; dhr. ; O. ;  ; Atma ; ouder ; Dorpsplein ; 11 ; Stolwijk ; 2821 AS ; 06-33166081 ; 0182-166081 ; Atma@hetweb.nl
5773 ; dhr. ; Q. ;  ; Bossinga ; ouder ; Goverwellesingel ; 21 ; Gouda ; 2807 DZ ; 06-33327529 ; 0182-327529 ; Bossinga@xs4you.nl
5787 ; dhr. ; S. ;  ; Elinga ; ouder ; Oosthaven ; 31 ; Gouda ; 2801 PE ; 06-33489369 ; 0182-489369 ; Elinga@zoggi.nl
5801 ; dhr. ; U. ;  ; Harinxma ; ouder ; Keizerstraat ; 8 ; Gouda ; 2801 NM ; 06-33651601 ; 0182-651601 ; Harinxma@freeweb.com
5815 ; dhr. ; W. ;  ; IJbema ; ouder ; Sneeuwbeslaan ; 18 ; Gouda ; 2803 AE ; 06-33814225 ; 0182-814225 ; IJbema@gmailer.com
5829 ; dhr. ; Y. ;  ; Kraaijema ; ouder ; Laura Hoeve ; 28 ; Gouda ; 2804 JH ; 06-33977241 ; 0182-977241 ; Kraaijema@hotmailing.com
5843 ; dhr. ; A. ;  ; Oldersma ; ouder ; Kwartslag ; 5 ; Gouda ; 2805 DW ; 06-34140649 ; 0182-140649 ; Oldersma@planeet.nl
5857 ; dhr. ; C. ;  ; Ringsma ; ouder ; Gerard Leeustraat ; 15 ; Gouda ; 2802 RZ ; 06-34304449 ; 0182-304449 ; Ringsma@hetweb.nl
5871 ; dhr. ; E.E. ;  ; Singelsma ; ouder ; Middelburgseweg ; 25 ; Reeuwijk ; 2811 PN ; 06-34468641 ; 0182-468641 ; Singelsma@xs4you.nl
5885 ; dhr. ; G. ;  ; Tietsma ; ouder ; Kamperfoelielaan ; 2 ; Gouda ; 2803 BG ; 06-34633225 ; 0182-633225 ; Tietsma@zoggi.nl
5899 ; dhr. ; I. ;  ; Westra ; ouder ; Noordpool ; 12 ; Gouda ; 2801 DH ; 06-34798201 ; 0182-798201 ; Westra@freeweb.com
5913 ; dhr. ; K. ;  ; Allersma ; ouder ; Frederik Hendriklaan ; 22 ; Gouda ; 2805 EH ; 06-34963569 ; 0182-963569 ; Allersma@gmailer.com
5927 ; dhr. ; M. ;  ; Boksma ; ouder ; Aderpolderweg ; 32 ; Gouda ; 2807 KL ; 06-35129329 ; 0182-129329 ; Boksma@hotmailing.com
5941 ; dhr. ; O. ; Voogdmans ; voogd ; ouder ; Industriestraat ; 9 ; Gouda ; 2802 AC ; 06-35295481 ; 0182-295481 ; Dubblinga@planeet.nl
5955 ; dhr. ; Q. ;  ; Haersma ; ouder ; Karel Lotsystraat ; 19 ; Gouda ; 2807 BZ ; 06-35462025 ; 0182-462025 ; Haersma@hetweb.nl
5969 ; dhr. ; S. ;  ; Houtstra ; ouder ; Hoogstraat ; 29 ; Gouda ; 2801 HH ; 06-35628961 ; 0182-628961 ; Houtstra@xs4you.nl
5983 ; dhr. ; U. ;  ; Kluiwstra ; ouder ; Abel Tasmanlaan ; 6 ; Gouda ; 2803 GJ ; 06-35796289 ; 0182-796289 ; Kluiwstra@zoggi.nl
5997 ; dhr. ; W. ;  ; Monsma ; ouder ; Dubbele Buurt ; 16 ; Gouda ; 2801 PA ; 06-35964009 ; 0182-964009 ; Monsma@freeweb.com
6011 ; dhr. ; Y.R. ;  ; Reverda ; ouder ; Gnephoekpolderstraat ; 26 ; Gouda ; 2807 LN ; 06-36132121 ; 0182-132121 ; Reverda@gmailer.com
6018 ; mw. ; Z.S. ;  ; Sanna ; ouder ; Klipperwerf ; 3 ; Gouda ; 2804 MP ; 06-36216324 ; 0182-216324 ; Sanna@hotmailing.com
6025 ; dhr. ; A.S. ;  ; Sierkstra ; ouder ; Bernadottestraat ; 13 ; Reeuwijk ; 2811 SV ; 06-36300625 ; 0182-300625 ; Sierkstra@planeet.nl
6032 ; mw. ; B.S. ;  ; Stapensea ; ouder ; Vest ; 23 ; Gouda ; 2801 VD ; 06-36385024 ; 0182-385024 ; Stapensea@hetweb.nl
6039 ; dhr. ; C.T. ;  ; Teertstra ; ouder ; Schinkeldijk ; 33 ; Reeuwijk ; 2811 PB ; 06-36469521 ; 0182-469521 ; Teertstra@xs4you.nl
6046 ; mw. ; D.T. ;  ; Tyema ; ouder ; Wilde Wingerdlaan ; 10 ; Gouda ; 2803 VR ; 06-36554116 ; 0182-554116 ; Tyema@zoggi.nl
6053 ; dhr. ; E.W. ;  ; Wanga ; ouder ; Kamgras ; 20 ; Gouda ; 2804 NP ; 06-36638809 ; 0182-638809 ; Wanga@freeweb.com
6060 ; mw. ; F.W. ;  ; Wijtsma ; ouder ; Westerkade ; 30 ; Gouda ; 2802 SJ ; 06-36723600 ; 0182-723600 ; Wijtsma@gmailer.com
6067 ; dhr. ; G.A. ;  ; Aardema ; ouder ; Wibautstraat ; 7 ; Gouda ; 2805 GA ; 06-36808489 ; 0182-808489 ; Aardema@hotmailing.com
6074 ; mw. ; H.B. ;  ; Bandsema ; ouder ; Waterdekmos ; 17 ; Reeuwijk ; 2811 GS ; 06-36893476 ; 0182-893476 ; Bandsema@planeet.nl
6081 ; dhr. ; I.B. ;  ; Blanksma ; ouder ; Hovenierskade ; 27 ; Gouda ; 2805 PK ; 06-36978561 ; 0182-978561 ; Blanksma@hetweb.nl
6088 ; mw. ; J.B. ; van ; Brandsma ; ouder ; Raesbergenstraat ; 4 ; Gouda ; 2804 TJ ; 06-37063744 ; 0182-63744 ; Brandsma@xs4you.nl
6095 ; dhr. ; K.D. ;  ; Dijkma ; ouder ; Drieblad ; 14 ; Reeuwijk ; 2811 EG ; 06-37149025 ; 0182-149025 ; Dijkma@zoggi.nl
6102 ; mw. ; L.E. ;  ; Eyzinga ; ouder ; Tak van Poortvlietstraat ; 24 ; Gouda ; 2805 TC ; 06-37234404 ; 0182-234404 ; Eyzinga@freeweb.com
6109 ; dhr. ; M.G. ;  ; Griepstra ; ouder ; Bodegraafsestraatweg ; 1 ; Gouda ; 2805 GM ; 06-37319881 ; 0182-319881 ; Griepstra@gmailer.com
6116 ; mw. ; N.H. ; de ; Heeresma ; ouder ; Wiardi Beckmanstraat ; 11 ; Gouda ; 2806 MB ; 06-37405456 ; 0182-405456 ; Heeresma@hotmailing.com
6123 ; dhr. ; O.H. ;  ; Holmersma ; ouder ; Heemskerkstraat ; 21 ; Gouda ; 2805 SR ; 06-37491129 ; 0182-491129 ; Holmersma@planeet.nl
6130 ; mw. ; P.J. ;  ; Jaarsma ; ouder ; Ree ; 31 ; Reeuwijk ; 2811 HE ; 06-37576900 ; 0182-576900 ; Jaarsma@hetweb.nl
6137 ; dhr. ; Q.K. ;  ; Ketema ; ouder ; Vrouwevestesteeg ; 8 ; Gouda ; 2801 CP ; 06-37662769 ; 0182-662769 ; Ketema@xs4you.nl
6144 ; mw. ; R.L. ;  ; Laadstra ; ouder ; Hoge Gouwe ; 18 ; Gouda ; 2801 LD ; 06-37748736 ; 0182-748736 ; Laadstra@zoggi.nl
6151 ; dhr. ; S.M. ;  ; Meijma ; ouder ; Deborah Hoeve ; 28 ; Gouda ; 2804 HJ ; 06-37834801 ; 0182-834801 ; Meijma@freeweb.com
6158 ; mw. ; T.P. ;  ; Paanstra ; ouder ; Tweede Hieronymus van Alphenstraat ; 5 ; Gouda ; 2806 RV ; 06-37920964 ; 0182-920964 ; Paanstra@gmailer.com
6165 ; dhr. ; U.R. ;  ; Reenalda ; ouder ; Dunantsingel ; 15 ; Gouda ; 2806 JD ; 06-38007225 ; 0182-7225 ; Reenalda@hotmailing.com
6172 ; mw. ; V.R. ; Voogt ; voogd ; ouder ; Jan Steenlaan ; 25 ; Stolwijk ; 2821 VA ; 06-38093584 ; 0182-93584 ; Roemersma@planeet.nl
6179 ; dhr. ; W.S. ;  ; Schuursma ; ouder ; Nijverheidsweg ; 2 ; Stolwijk ; 2821 AV ; 06-38180041 ; 0182-180041 ; Schuursma@hetweb.nl
6186 ; mw. ; X.S. ;  ; Slopstra ; ouder ; Statensingel ; 12 ; Gouda ; 2805 BH ; 06-38266596 ; 0182-266596 ; Slopstra@xs4you.nl
6193 ; dhr. ; Y.S. ;  ; Suitela ; ouder ; Oukoopsedijk ; 22 ; Reeuwijk ; 2811 NE ; 06-38353249 ; 0182-353249 ; Suitela@zoggi.nl
6200 ; mw. ; Z.T. ;  ; Tjeerdema ; ouder ; Groen van Prinsterersingel ; 32 ; Gouda ; 2805 TE ; 06-38440000 ; 0182-440000 ; Tjeerdema@freeweb.com
6207 ; dhr. ; A.V. ;  ; Vlietstra ; ouder ; Buchnerweg ; 9 ; Gouda ; 2803 GR ; 06-38526849 ; 0182-526849 ; Vlietstra@gmailer.com
6214 ; mw. ; B.W. ;  ; Wierenga ; ouder ; Warmoesenierstraat ; 19 ; Gouda ; 2805 PV ; 06-38613796 ; 0182-613796 ; Wierenga@hotmailing.com
6221 ; dhr. ; C.Z. ;  ; Zetstra ; ouder ; Winterdijk ; 29 ; Gouda ; 2801 SJ ; 06-38700841 ; 0182-700841 ; Zetstra@planeet.nl
6228 ; mw. ; D.A. ; van ; Arema ; ouder ; Robaarstraat ; 6 ; Gouda ; 2801 XL ; 06-38787984 ; 0182-787984 ; Arema@hetweb.nl
6235 ; dhr. ; E.B. ;  ; Berisha ; ouder ; Getijmolenerf ; 16 ; Gouda ; 2807 GN ; 06-38875225 ; 0182-875225 ; Berisha@xs4you.nl
6242 ; mw. ; F.B. ;  ; Boschma ; ouder ; Getijmolenerf ; 26 ; Gouda ; 2807 GJ ; 06-38962564 ; 0182-962564 ; Boschma@zoggi.nl
6249 ; dhr. ; G.B. ;  ; Byma ; ouder ; Tempeldijk ; 3 ; Reeuwijk ; 2811 PJ ; 06-39050001 ; 0182-50001 ; Byma@freeweb.com
6256 ; mw. ; H.E. ; de ; Eisema ; ouder ; John Rosslaan ; 13 ; Gouda ; 2803 XR ; 06-39137536 ; 0182-137536 ; Eisema@gmailer.com
6263 ; dhr. ; I.G. ;  ; Gatsma ; ouder ; Spieringstraat ; 23 ; Gouda ; 2801 ZH ; 06-39225169 ; 0182-225169 ; Gatsma@hotmailing.com
6270 ; mw. ; J.H. ;  ; Hamstra ; ouder ; Gandhiweg ; 33 ; Gouda ; 2807 RH ; 06-39312900 ; 0182-312900 ; Hamstra@planeet.nl
6277 ; dhr. ; K.H. ;  ; Hijma ; ouder ; Benedenkerkseweg ; 10 ; Stolwijk ; 2821 LD ; 06-39400729 ; 0182-400729 ; Hijma@hetweb.nl
6284 ; mw. ; L.I. ;  ; Idsinga ; ouder ; Zoutmanstraat ; 20 ; Gouda ; 2806 XD ; 06-39488656 ; 0182-488656 ; Idsinga@xs4you.nl
6291 ; dhr. ; M.J. ;  ; Juursema ; ouder ; Nieuwdorperweg ; 30 ; Reeuwijk ; 2811 LD ; 06-39576681 ; 0182-576681 ; Juursema@zoggi.nl
6298 ; mw. ; N.K. ;  ; Koostra ; ouder ; Kleiweg ; 7 ; Gouda ; 2801 GD ; 06-39664804 ; 0182-664804 ; Koostra@freeweb.com
6305 ; dhr. ; O.L. ;  ; Lolkema ; ouder ; Rietgors ; 17 ; Stolwijk ; 2821 SR ; 06-39753025 ; 0182-753025 ; Lolkema@gmailer.com
6312 ; mw. ; P.O. ;  ; Ockinga ; ouder ; Prins Hendrikstraat ; 27 ; Gouda ; 2802 JL ; 06-39841344 ; 0182-841344 ; Ockinga@hotmailing.com
6319 ; dhr. ; Q.P. ;  ; Popma ; ouder ; Merijntje Gijzenstraat ; 4 ; Gouda ; 2801 TC ; 06-39929761 ; 0182-929761 ; Popma@planeet.nl
6326 ; mw. ; R.R. ;  ; Rijzenga ; ouder ; Kerkpolderpad ; 14 ; Gouda ; 2807 KT ; 06-40018276 ; 0182-18276 ; Rijzenga@hetweb.nl
6333 ; dhr. ; S.S. ;  ; Scheltema ; ouder ; Wilhelmina van Pruisenlaan ; 24 ; Gouda ; 2807 KC ; 06-40106889 ; 0182-106889 ; Scheltema@xs4you.nl
6340 ; mw. ; T.S. ;  ; Sijtsma ; ouder ; Platteweg ; 1 ; Reeuwijk ; 2811 NA ; 06-40195600 ; 0182-195600 ; Sijtsma@zoggi.nl
6347 ; dhr. ; U.S. ;  ; Stenstra ; ouder ; Vossiusstraat ; 11 ; Gouda ; 2802 XM ; 06-40284409 ; 0182-284409 ; Stenstra@freeweb.com
6354 ; mw. ; V.T. ;  ; Tiemensma ; ouder ; Trilgras ; 21 ; Gouda ; 2804 NL ; 06-40373316 ; 0182-373316 ; Tiemensma@gmailer.com
6361 ; dhr. ; W.V. ;  ; Veennema ; ouder ; Kattensingel ; 31 ; Gouda ; 2801 CB ; 06-40462321 ; 0182-462321 ; Veennema@hotmailing.com
6368 ; mw. ; X.W. ; van ; Wekema ; ouder ; Nieuwe Gouwe Oostzijde ; 8 ; Gouda ; 2803 RA ; 06-40551424 ; 0182-551424 ; Wekema@planeet.nl
6375 ; dhr. ; Y.W. ;  ; Wubbena ; ouder ; Schoonouwenseweg ; 18 ; Stolwijk ; 2821 NW ; 06-40640625 ; 0182-640625 ; Wubbena@hetweb.nl
6382 ; mw. ; Z.A. ;  ; Albertsma ; ouder ; Karekietstraat ; 28 ; Gouda ; 2802 CN ; 06-40729924 ; 0182-729924 ; Albertsma@xs4you.nl
