2402 ; Alexei ;  ; IJntema ; M ; 1B1 ; 2371
3265 ; Brigith ;  ; Zanda ; V ; 2H2 ; 8412
3118 ; Thom ;  ; Janga ; M ; 2H2 ; 7383
2812 ; Dietwin ;  ; Sickinga ; M ; 2H2 ; 5241
3214 ; Knut ;  ; Schelfsma ; M ; 2H2 ; 8055
3316 ; Ricco ;  ; Gerkema ; M ; 2H2 ; 8769
2590 ; Tom ;  ; Strijkstra ; M ; 2H2 ; 3687
3215 ; Fabiola ;  ; Sijtema ; V ; 2H2 ; 8062
3252 ; Govert ;  ; IJtsma ; M ; 2H2 ; 8321
2297 ; Ilonka ;  ; Ockema ; V ; 2H2 ; 1615
2298 ; Matty ;  ; Sijtsinga ; M ; 2H2 ; 1643
2491 ; Henny  ;  ; Hottinga ; V ; 2H3 ; 2994
3196 ; Piter ;  ; Vlasma ; M ; 2H3 ; 7929
3278 ; Warner ;  ; Nauta ; M ; 2H3 ; 8503
2596 ; Kelvin ;  ; Bekkema ; M ; 2H3 ; 3729
2363 ; Kasia ;  ; Polsema ; V ; 2H3 ; 2091
3057 ; Annelous ; de ; Roukama ; V ; 2H3 ; 6956
2716 ; Lennart ;  ; Kainama ; M ; 2H3 ; 4569
3026 ; Nicolas ;  ; Halbesma ; M ; 2H3 ; 6739
2949 ; Orchana ;  ; Tjeerdema ; V ; 2H3 ; 6200
2467 ; Lammegje ;  ; Hansma ; V ; 2H3 ; 2826
3225 ; Amélie ;  ; Douwsma ; V ; 2H3 ; 8132
3295 ; Jonna ;  ; Heininga ; V ; 2H3 ; 8622
2811 ; Annemien ;  ; Reitzema ; V ; 2H3 ; 5227
3095 ; Aaltje ;  ; Huisinga ; V ; 2H3 ; 7222
2437 ; Danitsja ; de ; Winia ; V ; 2H3 ; 2616
2236 ; Hyltsje ;  ; Velema ; M ; 2H3 ; 1195
2757 ; Tosca ;  ; Eringa ; V ; 2H3 ; 4849
2794 ; Hermen ;  ; Weidema ; M ; 2H3 ; 5115
3233 ; Mia ; van ; Miedema ; V ; 2H3 ; 8188
2783 ; Truus ;  ; Huttenga ; V ; 2H3 ; 5031
3185 ; Xanne ;  ; Ipema ; V ; 2H3 ; 7852
3189 ; Esmeralda ;  ; Ozenga ; V ; 2H3 ; 7880
2630 ; Ulco ;  ; Menalda ; M ; 2H3 ; 3960
2585 ; Marilyn ;  ; Matla ; V ; 2H3 ; 3645
2252 ; Yoerie ;  ; Pijpstra ; M ; 2H3 ; 1307
2228 ; Marc-Marie ;  ; Lousma ; M ; 2H3 ; 1139
2804 ; Hilco ;  ; Hopma ; M ; 2H3 ; 5185
2918 ; Satish ;  ; Kluiwstra ; M ; 2H3 ; 5983
2484 ; Foefke ;  ; Yetsinga ; M ; 2H3 ; 2931
2495 ; Minke ;  ; Lemmersma ; V ; 2M1 ; 3015
3262 ; Grant ;  ; Timmenga ; M ; 2M1 ; 8391
2451 ; Farah ;  ; Lamstra ; V ; 2M1 ; 2700
2543 ; Ilayda ;  ; Rijpema ; V ; 2M1 ; 3351
3304 ; Leo ;  ; Severina ; M ; 2M1 ; 8685
2818 ; Roger ;  ; Zuidersma ; M ; 2M1 ; 5283
2474 ; Floriaan ; van ; Offeringa ; M ; 2M1 ; 2868
3096 ; Olivier ;  ; Jorritsma ; M ; 2M1 ; 7229
2917 ; Enith ;  ; Houtstra ; V ; 2M1 ; 5969
2665 ; Roxanna ;  ; Buitenga ; V ; 2M1 ; 4212
2289 ; Rebekka ;  ; Eikema ; V ; 2M1 ; 1559
3307 ; Ietje ;  ; Toppinga ; V ; 2M1 ; 8706
2838 ; Ron ;  ; Veninga ; M ; 2M1 ; 5423
2427 ; Jellie ;  ; Jorna ; V ; 2M1 ; 2532
2921 ; Louisa ;  ; Monsma ; V ; 2M1 ; 5997
3131 ; Rochelle ;  ; Zijlema ; V ; 2M1 ; 7474
2572 ; Ben ;  ; Zuininga ; M ; 2M1 ; 3561
2727 ; Madeleine ;  ; Veersema ; V ; 2M1 ; 4639
3320 ; Cor ;  ; Kampinga ; M ; 2M1 ; 8797
3176 ; Pier ;  ; Zwikstra ; M ; 2M1 ; 7789
2230 ; Roeland ;  ; Schingenga ; M ; 2M1 ; 1167
2764 ; Heike  ;  ; Oudega ; M ; 2M1 ; 4905
2240 ; Rokus ;  ; Beertema ; M ; 2M1 ; 1223
3049 ; Joren ;  ; Heistra ; V ; 2M1 ; 6900
2326 ; Jannes ;  ; Zwaga ; M ; 2M1 ; 1839
2810 ; Yann ;  ; Reitzema ; M ; 2M1 ; 5227
3211 ; Yanou ;  ; Nutma ; V ; 2M1 ; 8034
3240 ; Camiel ;  ; Tsjallinga ; M ; 2M1 ; 8237
2713 ; Kylie ; van ; Hanema ; V ; 2M1 ; 4548
2598 ; Pierre ;  ; Bekkema ; M ; 2M1 ; 3729
2788 ; Robert ;  ; Rietsema ; M ; 2M2 ; 5073
2633 ; Gonneke ;  ; Roosma ; V ; 2M2 ; 3981
2335 ; Germa ;  ; Hoitenga ; V ; 2M2 ; 1895
2428 ; Neal ;  ; Muntinga ; M ; 2M2 ; 2553
2422 ; Alte ;  ; Haijenga ; M ; 2M2 ; 2511
3277 ; Ann ; de ; Liezenga ; V ; 2M2 ; 8496
2423 ; Belle ;  ; Haijenga ; V ; 2M2 ; 2511
2915 ; Baukje ;  ; Haersma ; V ; 2M2 ; 5955
2608 ; Pieter-Jan ;  ; Poetsma ; M ; 2M2 ; 3813
2866 ; Mathij ;  ; Brinxma ; M ; 2M2 ; 5619
3169 ; Noor ;  ; Saeckma ; V ; 2M2 ; 7740
2616 ; Kiano ;  ; Unema ; M ; 2M2 ; 3855
2932 ; Elroy ;  ; Blanksma ; M ; 2M2 ; 6081
2868 ; Ruth ;  ; Feitsma ; M ; 2M2 ; 5633
3017 ; Zakia ; de ; Vijsma ; V ; 2M2 ; 6676
3271 ; Manita ;  ; Frietema ; V ; 2M2 ; 8454
2426 ; Jochen ;  ; Jorna ; M ; 2M2 ; 2532
2456 ; Jon ;  ; Sminia ; M ; 2M2 ; 2742
2687 ; Klasien ;  ; Bleijenga ; V ; 2M2 ; 4359
2600 ; Tony  ;  ; Eedema ; M ; 2M2 ; 3750
2319 ; Anouk ;  ; Renia ; V ; 2M2 ; 1783
2401 ; Jannie ;  ; Elzinga ; V ; 2M2 ; 2343
3015 ; Shanna ;  ; Strooisma ; V ; 2M2 ; 6662
2243 ; Dini ;  ; Folbeda ; V ; 2M2 ; 1251
2847 ; Stef ;  ; Freerkstra ; V ; 2M2 ; 5479
2935 ; Mayke ;  ; Eyzinga ; V ; 2M2 ; 6102
2361 ; Ginette ;  ; Jouwsma ; V ; 2M2 ; 2063
2477 ; Fieneke ;  ; Scherstra ; V ; 2M2 ; 2889
2729 ; Petronella ;  ; Yedema ; V ; 2M2 ; 4653
2444 ; Feike ;  ; Feeringa ; M ; 2M2 ; 2658
2719 ; Yentel ;  ; Oegema ; V ; 2M3 ; 4590
2345 ; Arja ;  ; Schrijfsma ; V ; 2M3 ; 1951
2925 ; Tara ;  ; Stapensea ; V ; 2M3 ; 6032
2942 ; Emanuel ;  ; Meijma ; M ; 2M3 ; 6151
2958 ; Seto ;  ; Gatsma ; M ; 2M3 ; 6263
2506 ; Jos  ;  ; Balstra ; M ; 2M3 ; 3099
2963 ; Salou ;  ; Koostra ; V ; 2M3 ; 6298
3299 ; Rachel ; van de ; Laversma ; V ; 2M3 ; 8650
2873 ; Suzan ;  ; Jansma ; V ; 2M3 ; 5661
2678 ; Ramon ; de ; Santema ; M ; 2M3 ; 4296
3024 ; Joey ;  ; Eelssema ; M ; 2M3 ; 6725
2685 ; Hannah ;  ; Wilstra ; V ; 2M3 ; 4338
2870 ; Yte ;  ; Heijenga ; M ; 2M3 ; 5647
3073 ; Geertje ; van ; IJpema ; V ; 2M3 ; 7068
2991 ; Yltje ;  ; Sielstra ; V ; 2M3 ; 6494
2841 ; Iorinde ;  ; Zaagstra ; V ; 2M3 ; 5437
2394 ; Espen ;  ; Aukema ; M ; 2M3 ; 2315
2632 ; Bran ;  ; Roosma ; M ; 2M3 ; 3981
2470 ; Stijn ;  ; Kalksma ; M ; 2M3 ; 2847
2834 ; Ignas ;  ; Schoustra ; M ; 2M3 ; 5395
3149 ; Cissy ;  ; Stiemstra ; V ; 2M3 ; 7600
2631 ; Cindy ;  ; Menalda ; V ; 2M3 ; 3960
3219 ; Lynne ; van de ; Weijtsema ; V ; 2M3 ; 8090
2934 ; Jayden ;  ; Dijkma ; M ; 2M3 ; 6095
2625 ; Nienke ;  ; Gropstra ; V ; 2M3 ; 3918
3141 ; Liz ;  ; Kalma ; V ; 2M3 ; 7544
2242 ; Yenté ;  ; Folbeda ; M ; 2M3 ; 1251
3170 ; Bernhard ;  ; Sierdsema ; M ; 2M3 ; 7747
2952 ; Engbert ;  ; Zetstra ; M ; 2M4 ; 6221
2435 ; Alina ;  ; Tekstra ; V ; 2M4 ; 2595
2872 ; Dylan ;  ; Jansma ; M ; 2M4 ; 5661
2725 ; Jilly ;  ; Steursma ; V ; 2M4 ; 4625
2348 ; Mickey ;  ; Vierstra ; M ; 2M4 ; 1979
2664 ; Gommaar ;  ; Alserda ; M ; 2M4 ; 4191
2280 ; Rudolf ;  ; Tjalsma ; M ; 2M4 ; 1503
2928 ; Sean ;  ; Wanga ; M ; 2M4 ; 6053
3303 ; Anneke ;  ; Rosema ; V ; 2M4 ; 8678
2843 ; Like ;  ; Beista ; V ; 2M4 ; 5451
3161 ; Axelle ;  ; Hemstra ; V ; 2M4 ; 7684
3035 ; Hylke ;  ; Scheemda ; V ; 2M4 ; 6802
3229 ; Hedwig ;  ; Horenga ; V ; 2M4 ; 8160
3199 ; Alie ;  ; Antema ; V ; 2M4 ; 7950
2558 ; Pascal  ; de ; Hellema ; M ; 2M4 ; 3456
2592 ; Bert ;  ; Strijkstra ; M ; 2M4 ; 3687
2587 ; Rihanna ;  ; Rittersma ; V ; 2M4 ; 3666
2241 ; Anja ;  ; Beertema ; V ; 2M4 ; 1223
2668 ; Ralf ;  ; Haga ; M ; 2M4 ; 4233
2948 ; Serkan ;  ; Suitela ; M ; 2M4 ; 6193
3011 ; Laurien ;  ; Pruiksma ; V ; 2M4 ; 6634
2578 ; Percy ;  ; Gjeltema ; M ; 2M4 ; 3603
2941 ; Bente ;  ; Laadstra ; V ; 2M4 ; 6144
2365 ; Marlice ;  ; Polsema ; V ; 2M4 ; 2091
3178 ; Tommy ;  ; Binsma ; M ; 2M4 ; 7803
2223 ; Mildred ;  ; Hilverda ; V ; 2M4 ; 1111
2364 ; Emiel ;  ; Polsema ; M ; 2M4 ; 2091
2820 ; Ybo ;  ; Bijkersma ; M ; 2M4 ; 5297
3036 ; Niels ;  ; Sijmensma ; M ; 3V1 ; 6809
2874 ; Jaap ;  ; Laninga ; M ; 3V1 ; 5675
3198 ; Tuomas ;  ; Zeinstra ; M ; 3V1 ; 7943
2325 ; Lieve ;  ; Tammenga ; V ; 3V1 ; 1811
2312 ; Zdenek ;  ; Haaisma ; M ; 3V1 ; 1727
2723 ; Fenna ;  ; Scheninga ; V ; 3V1 ; 4611
2224 ; Diederick ;  ; Hilverda ; M ; 3V1 ; 1111
2884 ; Jack ;  ; Wietsma ; M ; 3V1 ; 5745
2594 ; Gerd ; van ; Wielema ; M ; 3V1 ; 3708
3001 ; Pien ;  ; Delfsma ; V ; 3V1 ; 6564
3216 ; Quentin ;  ; Stelma ; M ; 3V1 ; 8069
2460 ; Stephan ;  ; Vollenga ; M ; 3V1 ; 2763
3146 ; Paul ;  ; Ringia ; M ; 3V1 ; 7579
3053 ; Raymonde ; van ; Leegstra ; V ; 3V1 ; 6928
2652 ; Bryan ;  ; Kraaijinga ; M ; 3V1 ; 4107
3045 ; Carla ;  ; Brokstra ; V ; 3V1 ; 6872
2269 ; Donna ;  ; Heerenga ; V ; 3V1 ; 1419
3175 ; Cornelia ;  ; Wijsma ; V ; 3V1 ; 7782
3100 ; Arvid ;  ; Ploegstra ; M ; 3V1 ; 7257
2726 ; Leonard ;  ; Veersema ; M ; 3V1 ; 4639
2975 ; Pauline ;  ; Albertsma ; V ; 3V1 ; 6382
2924 ; Jason ;  ; Sierkstra ; M ; 3V1 ; 6025
3099 ; Gerdienke ;  ; Musschenga ; V ; 3V1 ; 7250
2446 ; Johan ;  ; Hommema ; M ; 3V1 ; 2679
3010 ; Ambroos ;  ; Ottema ; M ; 3V2 ; 6627
2482 ; Arie ;  ; Yetsinga ; M ; 3V2 ; 2931
2344 ; Elmo ;  ; Schrijfsma ; M ; 3V2 ; 1951
3071 ; Cathérine ;  ; Harstra ; V ; 3V2 ; 7054
3114 ; Julien ;  ; Feersma ; M ; 3V2 ; 7355
2308 ; Maxim ;  ; Boerma ; M ; 3V2 ; 1699
2321 ; Eefje ;  ; Renia ; V ; 3V2 ; 1783
3244 ; Kristan ;  ; Baanstra ; M ; 3V2 ; 8265
2508 ; Olger ;  ; Balstra ; M ; 3V2 ; 3099
2511 ; Trineke ;  ; Diepstra ; V ; 3V2 ; 3120
2649 ; Lola ;  ; Hobbema ; V ; 3V2 ; 4086
2849 ; Abigaël ;  ; Hettenga ; V ; 3V2 ; 5493
2990 ; Alfons ;  ; Ruringa ; M ; 3V2 ; 6487
2510 ; Teus ;  ; Diepstra ; M ; 3V2 ; 3120
3266 ; Randal ;  ; Andersma ; M ; 3V2 ; 8419
3151 ; Gré ;  ; Veldsema ; V ; 3V2 ; 7614
2526 ; Julius ;  ; Tjaerda ; M ; 3V2 ; 3225
2653 ; Tacelia ; van ; Postiena ; V ; 3V2 ; 4128
2534 ; Frido ; van ; Galema ; M ; 3V2 ; 3288
2658 ; Rafael ;  ; Sinnega ; M ; 3V2 ; 4149
3031 ; Anne  ;  ; Lijklama ; V ; 3V2 ; 6774
2400 ; Sierk ;  ; Elzinga ; M ; 3V2 ; 2343
3234 ; Korneel ;  ; Pentenga ; M ; 3V2 ; 8195
2753 ; Malou ;  ; Ballema ; V ; 3V2 ; 4821
3040 ; Angelo ;  ; Weersinga ; M ; 3V2 ; 6837
2579 ; Challyne ;  ; Gjeltema ; V ; 3H1 ; 3603
3058 ; Sus ;  ; Sibma ; M ; 3H1 ; 6963
3300 ; Christophe ;  ; Menkema ; M ; 3H1 ; 8657
2992 ; Evert ;  ; Spijkstra ; M ; 3H1 ; 6501
2892 ; Edson ;  ; Harinxma ; M ; 3H1 ; 5801
2945 ; Jeltje ;  ; Roemersma ; V ; 3H1 ; 6172
2970 ; Alberik ;  ; Stenstra ; M ; 3H1 ; 6347
2994 ; Jip  ;  ; Tuinrnga ; M ; 3H1 ; 6515
2909 ; Martien ;  ; Allersma ; V ; 3H1 ; 5913
2801 ; Gabriëlle ;  ; Douna ; V ; 3H1 ; 5157
2669 ; Beaudine ;  ; Haga ; V ; 3H1 ; 4233
2458 ; Nikita ;  ; Vollenga ; M ; 3H1 ; 2763
2965 ; Yasmina ;  ; Ockinga ; V ; 3H1 ; 6312
3260 ; Carolus ;  ; Sjobbema ; M ; 3H1 ; 8377
2411 ; Cristina ;  ; Sipma ; V ; 3H1 ; 2427
2385 ; Claudia ;  ; Leegsma ; V ; 3H1 ; 2231
2238 ; Marek ;  ; Beertema ; M ; 3H1 ; 1223
2384 ; Erik ;  ; Leegsma ; M ; 3H1 ; 2231
2542 ; Barend ;  ; Rijpema ; M ; 3H1 ; 3351
2439 ; Hansje ; de ; Winia ; V ; 3H1 ; 2616
2617 ; Ashley ; de ; Agema ; V ; 3H1 ; 3876
3127 ; Karlien ;  ; Swiersema ; V ; 3H1 ; 7446
2290 ; Runar ;  ; Idserda ; M ; 3H1 ; 1587
3243 ; Jisca ;  ; Zwaagstra ; V ; 3H1 ; 8258
2337 ; Justine ;  ; Hoitenga ; V ; 3H1 ; 1895
3080 ; Arnie ;  ; Schootstra ; M ; 3H1 ; 7117
3147 ; Afke ;  ; Schijfsma ; V ; 3H1 ; 7586
2233 ; Joeske ;  ; Schingenga ; V ; 3H2 ; 1167
3317 ; Carleen ; de ; Harsma ; V ; 3H2 ; 8776
2796 ; Luuk ;  ; Albada ; M ; 3H2 ; 5129
2663 ; Matty ;  ; Alserda ; V ; 3H2 ; 4191
3174 ; Kees  ;  ; Walsma ; M ; 3H2 ; 7775
3023 ; Jolies ;  ; Burgsma ; V ; 3H2 ; 6718
2876 ; Matthijs ;  ; Pasma ; M ; 3H2 ; 5689
2554 ; Gaetan ;  ; Douwma ; M ; 3H2 ; 3435
3180 ; Bertram ;  ; Dijkema ; M ; 3H2 ; 7817
3164 ; Karinus ;  ; Klopma ; M ; 3H2 ; 7705
3007 ; Dimphy ;  ; Keekstra ; V ; 3H2 ; 6606
3158 ; Tjalle ;  ; Drilsma ; M ; 3H2 ; 7663
2478 ; Norbert ;  ; Scherstra ; M ; 3H2 ; 2889
2303 ; Sjoukje ;  ; Weistra ; V ; 3H2 ; 1671
3124 ; Jurre ;  ; Romkema ; M ; 3H2 ; 7425
2799 ; Carol  ;  ; Boelsma ; V ; 3H2 ; 5143
3086 ; Ole ;  ; Ytsma ; M ; 3H2 ; 7159
2642 ; Brendan ;  ; Bieringa ; M ; 3H2 ; 4044
3268 ; Walt ;  ; Booisma ; M ; 3H2 ; 8433
2680 ; Volkan ;  ; Teinsma ; M ; 3H2 ; 4317
2900 ; Zeno ;  ; Ringsma ; M ; 3H2 ; 5857
2529 ; Fraukje ;  ; Zeilstra ; V ; 3H2 ; 3246
2646 ; Kofi ;  ; Elsma ; M ; 3H2 ; 4065
2711 ; Hedi ;  ; Camstra ; V ; 3H2 ; 4527
3194 ; Kevin ;  ; Stuivinga ; M ; 3H2 ; 7915
2815 ; Imke ;  ; Tadema ; V ; 3H2 ; 5255
2986 ; Mustafa ;  ; Leijsma ; M ; 3H2 ; 6459
2557 ; Josefien ; de ; Hellema ; V ; 3H2 ; 3456
2432 ; Andert ;  ; Schaafsma ; M ; 3H2 ; 2574
2349 ; Isabelle ;  ; Vierstra ; V ; 3H3 ; 1979
2610 ; Tristan ;  ; Poetsma ; M ; 3H3 ; 3813
2568 ; Pavel ;  ; Siebinga ; M ; 3H3 ; 3519
2509 ; Quelly ;  ; Diepstra ; V ; 3H3 ; 3120
3206 ; Pleuni ;  ; Hijdra ; M ; 3H3 ; 7999
2677 ; Odyle ; de ; Santema ; V ; 3H3 ; 4296
2291 ; Ursula ;  ; Idserda ; V ; 3H3 ; 1587
2645 ; Emilia ;  ; Elsma ; V ; 3H3 ; 4065
3298 ; Wiebe ;  ; Klaversma ; M ; 3H3 ; 8643
2936 ; Miguel ;  ; Griepstra ; M ; 3H3 ; 6109
2733 ; Andromeda ;  ; Bruinsma ; V ; 3H3 ; 4681
2968 ; Sibo ;  ; Scheltema ; M ; 3H3 ; 6333
2813 ; Doutzen ;  ; Sickinga ; V ; 3H3 ; 5241
2612 ; Bob ;  ; Sijbertsma ; M ; 3H3 ; 3834
3153 ; Katrien ; van ; Ykema ; V ; 3H3 ; 7628
2695 ; Berendien ;  ; Lammersma ; V ; 3H3 ; 4422
2248 ; Marinus ;  ; Jolsma ; M ; 3H3 ; 1279
2745 ; Yoni ;  ; Ruwersma ; V ; 3H3 ; 4765
2846 ; Marnix ;  ; Freerkstra ; M ; 3H3 ; 5479
3313 ; Simonne ; van ; Botma ; V ; 3H3 ; 8748
2879 ; Ghiselaine ;  ; Rooda ; V ; 3H3 ; 5703
2781 ; Quirina ;  ; Halma ; V ; 3H3 ; 5017
2279 ; Zina ;  ; Tjalsma ; V ; 3H3 ; 1503
2328 ; Merijn ;  ; Zwaga ; M ; 3H3 ; 1839
2832 ; Dolf ;  ; Poutsma ; M ; 3H3 ; 5381
2404 ; Evan ;  ; IJntema ; M ; 3M1 ; 2371
2976 ; Moreno ;  ; Bazegra ; M ; 3M1 ; 6389
2956 ; Miroslav ;  ; Byma ; M ; 3M1 ; 6249
2947 ; Lummegje ;  ; Slopstra ; V ; 3M1 ; 6186
2317 ; Verena ;  ; Klijnstra ; V ; 3M1 ; 1755
2826 ; Mark ;  ; Hoekstra ; M ; 3M1 ; 5339
3257 ; Laurence ; de ; Proemsma ; V ; 3M1 ; 8356
2905 ; Griet ;  ; Tietsma ; V ; 3M1 ; 5885
2454 ; Fernand ;  ; Reijenga ; M ; 3M1 ; 2721
3188 ; Torak ;  ; Meestra ; M ; 3M1 ; 7873
3267 ; Flore ;  ; Belkega ; V ; 3M1 ; 8426
2582 ; Berg ;  ; IJtsema ; M ; 3M1 ; 3624
2699 ; Jente ;  ; Reidinga ; V ; 3M1 ; 4443
3119 ; Sujata ;  ; Kijlstra ; V ; 3M1 ; 7390
3115 ; Lindi ;  ; Groenia ; V ; 3M1 ; 7362
3264 ; Lancelot ;  ; Wielenga ; M ; 3M1 ; 8405
2235 ; Maja ;  ; Velema ; V ; 3M1 ; 1195
2744 ; Harrie ;  ; Ruwersma ; M ; 3M1 ; 4765
3167 ; Lonnie ;  ; Piersma ; V ; 3M1 ; 7726
2659 ; Gwen ; van de ; Vellinga ; V ; 3M1 ; 4170
3302 ; Hannes ;  ; Reinstra ; M ; 3M1 ; 8671
2274 ; Douglas ;  ; Roelsma ; M ; 3M1 ; 1475
2943 ; Esther ;  ; Paanstra ; V ; 3M1 ; 6158
2447 ; Yasfée ;  ; Hommema ; V ; 3M1 ; 2679
2890 ; Zack ;  ; Elinga ; M ; 3M1 ; 5787
2570 ; Tireno ;  ; Troelstra ; M ; 3M1 ; 3540
3009 ; Henriëtte ;  ; Meedema ; V ; 3M1 ; 6620
2807 ; Reina ;  ; Kleisma ; V ; 3M1 ; 5199
2231 ; Fitna ;  ; Schingenga ; V ; 3M1 ; 1167
2738 ; Rick ;  ; Jilderda ; M ; 3M2 ; 4723
2765 ; Leida ;  ; Oudega ; V ; 3M2 ; 4905
2545 ; Lidia ;  ; Stellingsma ; V ; 3M2 ; 3372
2471 ; Sarah ;  ; Kalksma ; V ; 3M2 ; 2847
3018 ; Solee ;  ; Wielstra ; M ; 3M2 ; 6683
2844 ; Ilja ;  ; Bultsma ; M ; 3M2 ; 5465
3070 ; Arjen ;  ; Gerringa ; M ; 3M2 ; 7047
2720 ; Wien ;  ; Oegema ; M ; 3M2 ; 4590
3051 ; Margie ;  ; Jelkema ; V ; 3M2 ; 6914
2485 ; Tonette ;  ; Bogtstra ; V ; 3M2 ; 2952
2960 ; Adrianus ;  ; Hijma ; M ; 3M2 ; 6277
3165 ; Janna ;  ; Lemminga ; V ; 3M2 ; 7712
2276 ; Ischa ;  ; Roelsma ; M ; 3M2 ; 1475
2887 ; Wietske ;  ; Atma ; V ; 3M2 ; 5759
2379 ; Nim ;  ; Heinstra ; V ; 3M2 ; 2203
2856 ; Martin ;  ; Schansema ; M ; 3M2 ; 5549
3159 ; Willemijn ;  ; Fokstra ; V ; 3M2 ; 7670
2368 ; Mink ;  ; Steginga ; M ; 3M2 ; 2119
3082 ; Fons ;  ; Straatsma ; M ; 3M2 ; 7131
2244 ; Dmitri ;  ; Folbeda ; M ; 3M2 ; 1251
3004 ; Job ;  ; Havenga ; M ; 3M2 ; 6585
2249 ; Mirian ;  ; Jolsma ; V ; 3M2 ; 1279
3148 ; Timmy ;  ; Siksma ; M ; 3M2 ; 7593
2929 ; Cynthia ;  ; Wijtsma ; V ; 3M2 ; 6060
2886 ; Maurits ;  ; Atma ; M ; 3M2 ; 5759
2944 ; Jef ;  ; Reenalda ; M ; 3M2 ; 6165
2441 ; Krista ;  ; Blesma ; V ; 3M2 ; 2637
2278 ; Mathias ;  ; Tjalsma ; M ; 3M2 ; 1503
2964 ; Jens ;  ; Lolkema ; M ; 3M2 ; 6305
2755 ; Plonie ;  ; Bovinga ; V ; 3M2 ; 4835
2806 ; Manuel ;  ; Kleisma ; M ; 3M3 ; 5199
3193 ; Lucinda ; van ; Slootstra ; V ; 3M3 ; 7908
2304 ; Edgar ;  ; Weistra ; M ; 3M3 ; 1671
2536 ; Jurjen ;  ; Hylkema ; M ; 3M3 ; 3309
2358 ; Mike ;  ; Jouwsma ; M ; 3M3 ; 2063
3312 ; Harald ;  ; Bierma ; M ; 3M3 ; 8741
3084 ; Jorrit ;  ; Veltsema ; M ; 3M3 ; 7145
2327 ; Nathalie ;  ; Zwaga ; V ; 3M3 ; 1839
3085 ; Edith ;  ; Wiebenga ; V ; 3M3 ; 7152
2405 ; Norali ;  ; IJntema ; V ; 3M3 ; 2371
2734 ; Harm ;  ; Foekema ; M ; 3M3 ; 4695
2715 ; Meta ; van ; Hanema ; V ; 3M3 ; 4548
2257 ; Fran ;  ; Stania ; V ; 3M3 ; 1335
2808 ; Rodrigo ;  ; Merema ; M ; 3M3 ; 5213
3005 ; Anique ;  ; Hoitinga ; V ; 3M3 ; 6592
2417 ; May ;  ; Wibena ; V ; 3M3 ; 2455
2709 ; Debra ;  ; Arentsma ; V ; 3M3 ; 4506
3168 ; Tobias ;  ; Retsema ; M ; 3M3 ; 7733
2606 ; Kenny ;  ; Kolkema ; M ; 3M3 ; 3792
2420 ; Sjef ;  ; Bonga ; M ; 3M3 ; 2483
2696 ; Laurents ;  ; Lammersma ; M ; 3M3 ; 4422
2771 ; Zara ;  ; Tjaardstra ; V ; 3M3 ; 4947
2814 ; Hugo ;  ; Tadema ; M ; 3M3 ; 5255
3318 ; Wilfred ;  ; Hobma ; M ; 3M3 ; 8783
3183 ; Roxy ;  ; Heemstra ; V ; 3M3 ; 7838
3074 ; Jorg ;  ; Kamstra ; M ; 3M3 ; 7075
2641 ; Willeke ;  ; Bieringa ; V ; 3M3 ; 4044
2717 ; Sandrine ;  ; Kainama ; V ; 3M3 ; 4569
3113 ; Isa ; van ; Doddema ; V ; 4V1 ; 7348
2648 ; Quirein ;  ; Hobbema ; M ; 4V1 ; 4086
3315 ; Zonhilde ;  ; Elzema ; V ; 4V1 ; 8762
2475 ; Blanche ; van ; Offeringa ; V ; 4V1 ; 2868
2453 ; Jet ;  ; Reijenga ; V ; 4V1 ; 2721
2561 ; Renée ;  ; Kleveringa ; V ; 4V1 ; 3477
2504 ; Francesco ;  ; Walma ; M ; 4V1 ; 3078
2487 ; Anika ;  ; Bogtstra ; V ; 4V1 ; 2952
2766 ; Lorenz ;  ; Roelfsma ; M ; 4V1 ; 4919
3306 ; Renger ;  ; Sytsma ; M ; 4V1 ; 8699
3288 ; Werner ;  ; Aikema ; M ; 4V1 ; 8573
3205 ; Koenrada ;  ; Hammersma ; V ; 4V1 ; 7992
3200 ; Boris ;  ; Bergema ; M ; 4V1 ; 7957
3129 ; Marleen ;  ; Vollinga ; V ; 4V1 ; 7460
3081 ; Venna ;  ; Sipsma ; V ; 4V1 ; 7124
2376 ; Jelmer ;  ; Broksma ; M ; 4V1 ; 2175
2496 ; Joris ;  ; Lemmersma ; M ; 4V1 ; 3015
3126 ; Özkar ;  ; Smitstra ; M ; 4V1 ; 7439
3269 ; Joke ;  ; Buntsma ; V ; 4V1 ; 8440
2618 ; Pjotr ; de ; Agema ; M ; 4V1 ; 3876
3249 ; Titia ;  ; Glastra ; V ; 4V1 ; 8300
3111 ; Elize ;  ; Blessinga ; V ; 4V1 ; 7334
2318 ; Melle ;  ; Renia ; M ; 4V1 ; 1783
2334 ; Eli  ;  ; Hoitenga ; M ; 4V1 ; 1895
2263 ; Quinty ;  ; Brandsema ; V ; 4V1 ; 1391
3002 ; Ewoud ;  ; Eppenga ; M ; 4V2 ; 6571
3107 ; Virginia ;  ; Wartna ; V ; 4V2 ; 7306
2939 ; Xiomara ;  ; Jaarsma ; V ; 4V2 ; 6130
3033 ; Dolly ; van ; Polsma ; V ; 4V2 ; 6788
2912 ; Eelco ;  ; Dubblinga ; M ; 4V2 ; 5941
2859 ; Riny ;  ; Steeksma ; V ; 4V2 ; 5563
